verse_number,transliteration
448,"innallazina tawallau mingkum yaumaltaqal-jam'ani innamastazallahumusy-syaitanu biba'di ma kasabu, wa laqad 'afallahu 'an-hum, innallaha gafurun halim"
449,"ya ayyuhallazina amanu la takunu kallazina kafaru wa qalu li'ikhwanihim iza darabu fil-ardi au kanu guzzal lau kanu 'indana ma matu wa ma qutilu, liyaj'alallahu zalika hasratan fi qulubihim, wallahu yuhyi wa yumit, wallahu bima ta'maluna basir"
450,wa la'ing qutiltum fi sabilillahi au muttum lamagfiratum minallahi wa rahmatun khairum mimma yajma'un
451,wa la'im muttum au qutiltum la'ilallahi tuhsyarun
452,"fa bima rahmatim minallahi linta lahum, walau kunta fazzan galizal-qalbi lanfaddu min haulika fa'fu 'an-hum wastagfir lahum wa syawir-hum fil-amr, fa iza 'azamta fa tawakkal 'alallah, innallaha yuhibbul-mutawakkilin"
453,"iy yansurkumullahu fa la galiba lakum, wa iy yakhzulkum fa man zallazi yansurukum mim ba'dih, wa 'alallahi falyatawakkalil-mu'minun"
454,"wa ma kana linabiyyin ay yagull, wa may yaglul ya'ti bima galla yaumal-qiyamah, summa tuwaffa kullu nafsim ma kasabat wa hum la yuzlamun"
455,"a fa manittaba'a ridwanallahi kamam ba'a bisakhatim minallahi wa ma'wahu jahannam, wa bi'sal-masir"
456,"hum darajatun 'indallah, wallahu basirum bima ya'malun"
457,"laqad mannallahu 'alal-mu'minina iz ba'asa fihim rasulam min anfusihim yatlu 'alaihim ayatihi wa yuzakkihim wa yu'allimuhumul-kitaba wal-hikmah, wa ing kanu ming qablu lafi dalalim mubin"
458,"a wa lamma asabatkum musibatung qad asabtum mislaiha qultum anna haza, qul huwa min 'indi anfusikum, innallaha 'ala kulli syai'ing qadir"
459,wa ma asabakum yaumaltaqal-jam'ani fa bi'iznillahi wa liya'lamal-mu'minin
460,"wa liya'lamallazina nafaqu wa qila lahum ta'alau qatilu fi sabilillahi awidfa'u, qalu lau na'lamu qitalal lattaba'nakum, hum lil-kufri yauma'izin aqrabu min-hum lil-iman, yaquluna bi'afwahihim ma laisa fi qulubihim, wallahu a'lamu bima yaktumun"
461,"allazina qalu li'ikhwanihim wa qa'adu lau ata'una ma qutilu, qul fadra'u 'an anfusikumul-mauta ing kuntum sadiqin"
462,"wa la tahsabannallazina qutilu fi sabilillahi amwata, bal ahya'un 'inda rabbihim yurzaqun"
463,farihina bima atahumullahu min fadlihi wa yastabsyiruna billazina lam yal-haqu bihim min khalfihim alla khaufun 'alaihim wa la hum yahzanun
464,"yastabsyiruna bini'matim minallahi wa fadl, wa annallaha la yudi'u ajral-mu'minin"
465,allazinastajabu lillahi war-rasuli mim ba'di ma asabahumul-qar-hu lillazina ahsanu min-hum wattaqau ajrun 'azim
466,allazina qala lahumun-nasu innan-nasa qad jama'u lakum fakhsyauhum fa zadahum imanaw wa qalu hasbunallahu wa ni'mal-wakil
467,"fangqalabu bini'matim minallahi wa fadlil lam yamsas-hum su'uw wattaba'u ridwanallah, wallahu zu fadlin 'azim"
468,innama zalikumusy-syaitanu yukhawwifu auliya'ahu fa la takhafuhum wa khafuni ing kuntum mu'minin
469,"wa la yahzungkallazina yusari'una fil-kufr, innahum lay yadurrullaha syai'a, yuridullahu alla yaj'ala lahum hazzan fil-akhirati wa lahum 'azabun 'azim"
470,"innallazinasytarawul-kufra bil-imani lay yadurrullaha syai'a, wa lahum 'azabun alim"
471,"wa la yahsabannallazina kafaru annama numli lahum khairul li'anfusihim, innama numli lahum liyazdadu isma, wa lahum 'azabum muhin"
472,"ma kanallahu liyazaral-mu'minina 'ala ma antum 'alaihi hatta yamizal-khabisa minat-tayyib, wa ma kanallahu liyutli'akum 'alal-gaibi wa lakinnallaha yajtabi mir rusulihi may yasya'u fa aminu billahi wa rusulih, wa in tu'minu wa tattaqu fa lakum ajrun 'azim"
473,"wa la yahsabannallazina yabkhaluna bima atahumullahu min fadlihi huwa khairal lahum, bal huwa syarrul lahum, sayutawwaquna ma bakhilu bihi yaumal-qiyamah, wa lillahi mirasus-samawati wal-ard, wallahu bima ta'maluna khabir"
474,"laqad sami'allahu qaulallazina qalu innallaha faqiruw wa nahnu agniya', sanaktubu ma qalu wa qatlahumul-ambiya'a bigairi haqqiw wa naqulu zuqu 'azabal-hariq"
475,zalika bima qaddamat aidikum wa annallaha laisa bizallamil lil-'abid
476,"allazina qalu innallaha 'ahida ilaina alla nu'mina lirasulin hatta ya'tiyana biqurbanin ta'kuluhun-nar, qul qad ja'akum rusulum ming qabli bil-bayyinati wa billazi qultum fa lima qataltumuhum ing kuntum sadiqin"
477,fa ing kazzabuka fa qad kuzziba rusulum ming qablika ja'u bil-bayyinati waz-zuburi wal-kitabil-munir
478,"kullu nafsin za'iqatul maut, wa innama tuwaffauna ujurakum yaumal-qiyamah, fa man zuhziha 'anin-nari wa udkhilal-jannata fa qad faz, wa mal-hayatud-dun-ya illa mata'ul-gurur"
479,"latublawunna fi amwalikum wa anfusikum, wa latasma'unna minallazina utul-kitaba ming qablikum wa minallazina asyraku azang kasira, wa in tasbiru wa tattaqu fa inna zalika min 'azmil-umur"
480,"wa iz akhazallahu misaqallazina utul-kitaba latubayyinunnahu lin-nasi wa la taktumunahu fa nabazuhu wara'a zuhurihim wasytarau bihi samanang qalila, fa bi'sa ma yasytarun"
481,"la tahsabannallazina yafrahuna bima ataw wa yuhibbuna ay yuhmadu bima lam yaf'alu fa la tahsabannahum bimafazatim minal-'azab, wa lahum 'azabun alim"
482,"wa lillahi mulkus-samawati wal-ard, wallahu 'ala kulli syai'ing qadir"
483,inna fi khalqis-samawati wal-ardi wakhtilafil-laili wan-nahari la'ayatil li'ulil-albab
484,"allazina yazkurunallaha qiyamaw wa qu'udaw wa 'ala junubihim wa yatafakkaruna fi khalqis-samawati wal-ard, rabbana ma khalaqta haza batila, sub-hanaka fa qina 'azaban-nar"
485,"rabbana innaka man tudkhilin-nara fa qad akhzaitah, wa ma liz-zalimina min ansar"
486,rabbana innana sami'na munadiyay yunadi lil-imani an aminu birabbikum fa amanna rabbana fagfir lana zunubana wa kaffir 'anna sayyi'atina wa tawaffana ma'al-abrar
487,"rabbana wa atina ma wa'attana 'ala rusulika wa la tukhzina yaumal-qiyamah, innaka la tukhliful-mi'ad"
488,"fastajaba lahum rabbuhum anni la udi'u 'amala 'amilim mingkum min zakarin au unsa, ba'dukum mim ba'd, fallazina hajaru wa ukhriju min diyarihim wa uzu fi sabili wa qatalu wa qutilu la'ukaffiranna 'an-hum sayyi'atihim wa la'udkhilannahum jannatin tajri min tahtihal-an-har, sawabam min 'indillah, wallahu 'indahu husnus-sawab"
489,la yagurrannaka taqallubullazina kafaru fil-bilad
490,"mata'ung qalil, summa ma'wahum jahannam, wa bi'sal-mihad"
491,"lakinillazinattaqau rabbahum lahum jannatun tajri min tahtihal-an-haru khalidina fiha nuzulam min 'indillah, wa ma 'indallahi khairul lil-abrar"
492,"wa inna min ahlil-kitabi lamay yu'minu billahi wa ma unzila ilaikum wa ma unzila ilaihim khasyi'ina lillahi la yasytaruna bi'ayatillahi samanang qalila, ula'ika lahum ajruhum 'inda rabbihim, innallaha sari'ul-hisab"
493,"ya ayyuhallazina amanusbiru wa sabiru wa rabitu, wattaqullaha la'allakum tuflihun"
494,"ya ayyuhan-nasuttaqu rabbakumullazi khalaqakum min nafsiw wahidatiw wa khalaqa min-ha zaujaha wa bassa min-huma rijalang kasiraw wa nisa'a, wattaqullahallazi tasa'aluna bihi wal-ar-ham, innallaha kana 'alaikum raqiba"
495,"wa atul-yatama amwalahum wa la tatabaddalul-khabisa bit-tayyibi wa la ta'kulu amwalahum ila amwalikum, innahu kana hubang kabira"
496,"wa in khiftum alla tuqsitu fil-yatama fangkihu ma taba lakum minan-nisa'i masna wa sulasa wa ruba', fa in khiftum alla ta'dilu fa wahidatan au ma malakat aimanukum, zalika adna alla ta'ulu"
497,"wa atun-nisa'a saduqatihinna nihlah, fa in tibna lakum 'an syai'im min-hu nafsan fa kuluhu hani'am mari'a"
498,wa la tu'tus-sufaha'a amwalakumullati ja'alallahu lakum qiyamaw warzuquhum fiha waksuhum wa qulu lahum qaulam ma'rufa
499,"wabtalul-yatama hatta iza balagun-nikah, fa in anastum min-hum rusydan fadfa'u ilaihim amwalahum, wa la ta'kuluha israfaw wa bidaran ay yakbaru, wa mang kana ganiyyan falyasta'fif, wa mang kana faqiran falya'kul bil-ma'ruf, fa iza dafa'tum ilaihim amwalahum fa asy-hidu 'alaihim, wa kafa billahi hasiba"
500,"lir-rijali nasibum mimma tarakal-walidani wal-aqrabuna wa lin-nisa'i nasibum mimma tarakal-walidani wal-aqrabuna mimma qalla min-hu au kasur, nasibam mafruda"
501,wa iza hadaral-qismata ulul-qurba wal-yatama wal-masakinu farzuquhum min-hu wa qulu lahum qaulam ma'rufa
502,walyakhsyallazina lau taraku min khalfihim zurriyyatan di'afan khafu 'alaihim falyattaqullaha walyaqulu qaulan sadida
503,"innallazina ya'kuluna amwalal-yatama zulman innama ya'kuluna fi butunihim nara, wa sayaslauna sa'ira"
504,"yusikumullahu fi auladikum liz-zakari mislu hazzil-unsayain, fa ing kunna nisa'an fauqasnataini fa lahunna sulusa ma tarak, wa ing kanat wahidatan fa lahan-nisf, wa li'abawaihi likulli wahidim min-humas-sudusu mimma taraka ing kana lahu walad, fa il lam yakul lahu waladuw wa warisahu abawahu fa li'ummihis-sulus, fa ing kana lahu ikhwatun fa li'ummihis-sudusu mim ba'di wasiyyatiy yusi biha au dain, aba'ukum wa abna'ukum, la tadruna ayyuhum aqrabu lakum naf'a, faridatam minallah, innallaha kana 'aliman hakima"
505,"wa lakum nisfu ma taraka azwajukum il lam yakul lahunna walad, fa ing kana lahunna waladun fa lakumur-rubu'u mimma tarakna mim ba'di wasiyyatiy yusina biha au dain, wa lahunnar-rubu'u mimma taraktum il lam yakul lakum walad, fa ing kana lakum waladun fa lahunnas-sumunu mimma taraktum mim ba'di wasiyyatin tusuna biha au dain, wa ing kana rajuluy yurasu kalalatan awimra'atuw wa lahu akhun au ukhtun fa likulli wahidim min-humas-sudus, fa ing kanu aksara min zalika fa hum syuraka'u fis-sulusi mim ba'di wasiyyatiy yusa biha au dainin gaira mudarr, wasiyyatam minallah, wallahu 'alimun halim"
506,"tilka hududullah, wa may yuti'illaha wa rasulahu yudkhil-hu jannatin tajri min tahtihal-an-haru khalidina fiha, wa zalikal-fauzul-'azim"
507,wa may ya'sillaha wa rasulahu wa yata'adda hududahu yudkhil-hu naran khalidan fiha wa lahu 'azabum muhin
508,"wallati ya'tinal-fahisyata min nisa'ikum fastasy-hidu 'alaihinna arba'atam mingkum, fa in syahidu fa amsikuhunna fil-buyuti hatta yatawaffahunnal-mautu au yaj'alallahu lahunna sabila"
509,"wallazani ya'tiyaniha mingkum fa azuhuma, fa in taba wa aslaha fa a'ridu 'an-huma, innallaha kana tawwabar rahima"
510,"innamat-taubatu 'alallahi lillazina ya'malunas-su'a bijahalatin summa yatubuna ming qaribin fa ula'ika yatubullahu 'alaihim, wa kanallahu 'aliman hakima"
511,"wa laisatit-taubatu lillazina ya'malunas-sayyi'at, hatta iza hadara ahadahumul-mautu qala inni tubtul-ana wa lallazina yamutuna wa hum kuffar, ula'ika a'tadna lahum 'azaban alima"
512,"ya ayyuhallazina amanu la yahillu lakum an tarisun-nisa'a kar-ha, wa la ta'duluhunna litaz-habu biba'di ma ataitumuhunna illa ay ya'tina bifahisyatim mubayyinah, wa 'asyiruhunna bil-ma'ruf, fa ing karihtumuhunna fa 'asa an takrahu syai'aw wa yaj'alallahu fihi khairang kasira"
513,"wa in arattumustibdala zaujim makana zaujiw wa ataitum ihdahunna qintaran fa la ta'khuzu min-hu syai'a, a ta'khuzunahu buhtanaw wa ismam mubina"
514,wa kaifa ta'khuzunahu wa qad afda ba'dukum ila ba'diw wa akhazna mingkum misaqan galiza
515,"wa la tangkihu ma nakaha aba'ukum minan-nisa'i illa ma qad salaf, innahu kana fahisyataw wa maqta, wa sa'a sabila"
516,"hurrimat 'alaikum ummahatukum wa banatukum wa akhawatukum wa 'ammatukum wa khalatukum wa banatul-akhi wa banatul-ukhti wa ummahatukumullati arda'nakum wa akhawatukum minar-rada'ati wa ummahatu nisa'ikum wa raba'ibukumullati fi hujurikum min-nisa'ikumullati dakhaltum bihinna fa il lam takunu dakhaltum bihinna fa la junaha 'alaikum wa hala'ilu abna'ikumullazina min aslabikum wa an tajma'u bainal-ukhtaini illa ma qad salaf, innallaha kana gafurar rahima"
517,"wal-muhsanatu minan-nisa'i illa ma malakat aimanukum, kitaballahi 'alaikum, wa uhilla lakum ma wara'a zalikum an tabtagu bi'amwalikum muhsinina gaira musafihin, fa mastamta'tum bihi min-hunna fa atuhunna ujurahunna faridah, wa la junaha 'alaikum fima taradaitum bihi mim ba'dil-faridah, innallaha kana 'aliman hakima"
518,"wa mal lam yastati' mingkum taulan ay yangkihal-muhsanatil-mu'minati fa mimma malakat aimanukum min fatayatikumul-mu'minat, wallahu a'lamu bi'imanikum, ba'dukum mim ba'd, fangkihuhunna bi'izni ahlihinna wa atuhunna ujurahunna bil-ma'rufi muhsanatin gaira musafihatiw wa la muttakhizati akhdan, fa iza uhsinna fa in ataina bifahisyatin fa 'alaihinna nisfu ma 'alal-muhsanati minal-'azab, zalika liman khasyiyal-'anata mingkum, wa an tasbiru khairul lakum, wallahu gafurur rahim"
519,"yuridullahu liyubayyina lakum wa yahdiyakum sunanallazina ming qablikum wa yatuba 'alaikum, wallahu 'alimun hakim"
520,"wallahu yuridu ay yatuba 'alaikum, wa yuridullazina yattabi'unasy-syahawati an tamilu mailan 'azima"
521,"yuridullahu ay yukhaffifa 'angkum, wa khuliqal-insanu da'ifa"
522,"ya ayyuhallazina amanu la ta'kulu amwalakum bainakum bil-batili illa an takuna tijaratan 'an taradim mingkum, wa la taqtulu anfusakum, innallaha kana bikum rahima"
523,"wa may yaf'al zalika 'udwanaw wa zulman fa saufa nuslihi nara, wa kana zalika 'alallahi yasira"
524,in tajtanibu kaba'ira ma tun-hauna 'an-hu nukaffir 'angkum sayyi'atikum wa nudkhilkum mudkhalang karima
525,"wa la tatamannau ma faddalallahu bihi ba'dakum 'ala ba'd, lir-rijali nasibum mimmaktasabu, wa lin-nisa'i nasibum mimmaktasabn, was'alullaha min fadlih, innallaha kana bikulli syai'in 'alima"
526,"wa likullin ja'alna mawaliya mimma tarakal-walidani wal-aqrabun, wallazina 'aqadat aimanukum fa atuhum nasibahum, innallaha kana 'ala kulli syai'in syahida"
527,"ar-rijalu qawwamuna 'alan-nisa'i bima faddalallahu ba'dahum 'ala ba'diw wa bima anfaqu min amwalihim, fas-salihatu qanitatun hafizatul lil-gaibi bima hafizallah, wallati takhafuna nusyuzahunna fa'izuhunna wahjuruhunna fil-madaji'i wadribuhunn, fa in ata'nakum fa la tabgu 'alaihinna sabila, innallaha kana 'aliyyang kabira"
528,"wa in khiftum syiqaqa bainihima fab'asu hakamam min ahlihi wa hakamam min ahliha, iy yurida islahay yuwaffiqillahu bainahuma, innallaha kana 'aliman khabira"
529,"wa'budullaha wa la tusyriku bihi syai'aw wa bil-walidaini ihsanaw wa bizil-qurba wal-yatama wal-masakini wal-jari zil-qurba wal-jaril-junubi was-sahibi bil-jambi wabnis-sabili wa ma malakat aimanukum, innallaha la yuhibbu mang kana mukhtalan fakhura"
530,"allazina yabkhaluna wa ya'murunan-nasa bil-bukhli wa yaktumuna ma atahumullahu min fadlih, wa a'tadna lil-kafirina 'azabam muhina"
531,"wallazina yunfiquna amwalahum ri'a'an-nasi wa la yu'minuna billahi wa la bil-yaumil-akhir, wa may yakunisy-syaitanu lahu qarinan fa sa'a qarina"
532,"wa maza 'alaihim lau amanu billahi wal-yaumil-akhiri wa anfaqu mimma razaqahumullah, wa kanallahu bihim 'alima"
533,"innallaha la yazlimu misqala zarrah, wa in taku hasanatay yuda'if-ha wa yu'ti mil ladun-hu ajran 'azima"
534,fa kaifa iza ji'na ming kulli ummatim bisyahidiw wa ji'na bika 'ala ha'ula'i syahida
535,"yauma'iziy yawaddullazina kafaru wa 'asawur-rasula lau tusawwa bihimul-ard, wa la yaktumunallaha hadisa"
536,"ya ayyuhallazina amanu la taqrabus-salata wa antum sukara hatta ta'lamu ma taquluna wa la junuban illa 'abiri sabilin hatta tagtasilu, wa ing kuntum marda au 'ala safarin au ja'a ahadum mingkum minal-ga'iti au lamastumun-nisa'a fa lam tajidu ma'an fa tayammamu sa'idan tayyiban famsahu biwujuhikum wa aidikum, innallaha kana 'afuwwan gafura"
537,a lam tara ilallazina utu nasibam minal-kitabi yasytarunad-dalalata wa yuriduna an tadillus-sabil
538,"wallahu a'lamu bi'a'da'ikum, wa kafa billahi waliyyaw wa kafa billahi nasira"
539,"minallazina hadu yuharrifunal-kalima 'am mawadi'ihi wa yaquluna sami'na wa 'asaina wasma' gaira musma'iw wa ra'ina layyam bi'alsinatihim wa ta'nan fid-din, walau annahum qalu sami'na wa ata'na wasma' wanzurna lakana khairal lahum wa aqwama wa lakil la'anahumullahu bikufrihim fa la yu'minuna illa qalila"
540,"ya ayyuhallazina utul-kitaba aminu bima nazzalna musaddiqal lima ma'akum ming qabli an natmisa wujuhan fa naruddaha 'ala adbariha au nal'anahum kama la'anna as-habas-sabt, wa kana amrullahi maf'ula"
541,"innallaha la yagfiru ay yusyraka bihi wa yagfiru ma duna zalika limay yasya', wa may yusyrik billahi fa qadiftara isman 'azima"
542,"a lam tara ilallazina yuzakkuna anfusahum, balillahu yuzakki may yasya'u wa la yuzlamuna fatila"
543,"unzur kaifa yaftaruna 'alallahil-kazib, wa kafa bihi ismam mubina"
544,a lam tara ilallazina utu nasibam minal-kitabi yu'minuna bil-jibti wat-taguti wa yaquluna lillazina kafaru ha'ula'i ahda minallazina amanu sabila
545,"ula'ikallazina la'anahumullah, wa may yal'anillahu fa lan tajida lahu nasira"
546,am lahum nasibum minal-mulki fa izal la yu'tunan-nasa naqira
547,"am yahsudunan-nasa 'ala ma atahumullahu min fadlih, fa qad ataina ala ibrahimal-kitaba wal-hikmata wa atainahum mulkan 'azima"
548,"fa min-hum man amana bihi wa min-hum man sadda 'an-h, wa kafa bijahannama sa'ira"
549,"innallazina kafaru bi'ayatina saufa nuslihim nara, kullama nadijat juluduhum baddalnahum juludan gairaha liyazuqul-'azab, innallaha kana 'azizan hakima"
550,"wallazina amanu wa 'amilus-salihati sanudkhiluhum jannatin tajri min tahtihal-an-haru khalidina fiha abada, lahum fiha azwajum mutahharatuw wa nudkhiluhum zillan zalila"
551,"innallaha ya'murukum an tu'addul-amanati ila ahliha wa iza hakamtum bainan-nasi an tahkumu bil-'adl, innallaha ni'imma ya'izukum bih, innallaha kana sami'am basira"
552,"ya ayyuhallazina amanu ati'ullaha wa ati'ur-rasula wa ulil-amri mingkum, fa in tanaza'tum fi syai'in fa rudduhu ilallahi war-rasuli ing kuntum tu'minuna billahi wal-yaumil-akhir, zalika khairuw wa ahsanu ta'wila"
553,"a lam tara ilallazina yaz'umuna annahum amanu bima unzila ilaika wa ma unzila ming qablika yuriduna ay yatahakamu ilat-taguti wa qad umiru ay yakfuru bih, wa yuridusy-syaitanu ay yudillahum dalalam ba'ida"
554,wa iza qila lahum ta'alau ila ma anzalallahu wa ilar-rasuli ra'aital-munafiqina yasudduna 'angka sududa
555,fa kaifa iza asabat-hum musibatum bima qaddamat aidihim summa ja'uka yahlifuna billahi in aradna illa ihsanaw wa taufiqa
556,ula'ikallazina ya'lamullahu ma fi qulubihim fa a'rid 'an-hum wa'iz-hum wa qul lahum fi anfusihim qaulam baliga
557,"wa ma arsalna mir rasulin illa liyuta'a bi'iznillah, walau annahum iz zalamu anfusahum ja'uka fastagfarullaha wastagfara lahumur-rasulu lawajadullaha tawwabar rahima"
558,fa la wa rabbika la yu'minuna hatta yuhakkimuka fima syajara bainahum summa la yajidu fi anfusihim harajam mimma qadaita wa yusallimu taslima
559,"walau anna katabna 'alaihim aniqtulu anfusakum awikhruju min diyarikum ma fa'aluhu illa qalilum min-hum, walau annahum fa'alu ma yu'azuna bihi lakana khairal lahum wa asyadda tasbita"
560,wa izal la'atainahum mil ladunna ajran 'azima
561,wa lahadainahum siratam mustaqima
562,"wa may yuti'illaha war-rasula fa ula'ika ma'allazina an'amallahu 'alaihim minan-nabiyyina was-siddiqina wasy-syuhada'i was-salihin, wa hasuna ula'ika rafiqa"
563,"zalikal-fadlu minallah, wa kafa billahi 'alima"
564,ya ayyuhallazina amanu khuzu hizrakum fanfiru subatin awinfiru jami'a
565,"wa inna mingkum lamal layubatti'ann, fa in asabatkum musibatung qala qad an'amallahu 'alayya iz lam akum ma'ahum syahida"
566,wa la'in asabakum fadlum minallahi layaqulanna ka'al lam takum bainakum wa bainahu mawaddatuy ya laitani kuntu ma'ahum fa afuza fauzan 'azima
567,"falyuqatil fi sabilillahillazina yasyrunal-hayatad-dun-ya bil-akhirah, wa may yuqatil fi sabilillahi fa yuqtal au yaglib fa saufa nu'tihi ajran 'azima"
568,"wa ma lakum la tuqatiluna fi sabilillahi wal-mustad'afina minar-rijali wan-nisa'i wal-wildanillazina yaquluna rabbana akhrijna min hazihil-qaryatiz-zalimi ahluha, waj'al lana mil ladungka waliyya, waj'al lana mil ladungka nasira"
569,"allazina amanu yuqatiluna fi sabilillah, wallazina kafaru yuqatiluna fi sabilit-taguti fa qatilu auliya'asy-syaitan, inna kaidasy-syaitani kana da'ifa"
570,"a lam tara ilallazina qila lahum kuffu aidiyakum wa aqimus-salata wa atuz-zakah, fa lamma kutiba 'alaihimul-qitalu iza fariqum min-hum yakhsyaunan-nasa kakhasy-yatillahi au asyadda khasy-yah, wa qalu rabbana lima katabta 'alainal-qital, lau la akhkhartana ila ajaling qarib, qul mata'ud-dun-ya qalil, wal-akhiratu khairul limanittaqa, wa la tuzlamuna fatila"
571,"aina ma takunu yudrikkumul-mautu walau kuntum fi burujim musyayyadah, wa in tusib-hum hasanatuy yaqulu hazihi min 'indillah, wa in tusib-hum sayyi'atuy yaqulu hazihi min 'indik, qul kullum min 'indillah, fa mali ha'ula'il-qaumi la yakaduna yafqahuna hadisa"
572,"ma asabaka min hasanatin fa minallahi wa ma asabaka min sayyi'atin fa min nafsik, wa arsalnaka lin-nasi rasula, wa kafa billahi syahida"
573,"may yuti'ir-rasula fa qad ata'allah, wa man tawalla fa ma arsalnaka 'alaihim hafiza"
574,"wa yaquluna ta'atun fa iza barazu min 'indika bayyata ta'ifatum min-hum gairallazi taqul, wallahu yaktubu ma yubayyitun, fa a'rid 'an-hum wa tawakkal 'alallah, wa kafa billahi wakila"
575,"a fa la yatadabbarunal-qur'an, walau kana min 'indi gairillahi lawajadu fihikhtilafang kasira"
576,"wa iza ja'ahum amrum minal-amni awil-khaufi aza'u bih, walau radduhu ilar-rasuli wa ila ulil-amri min-hum la'alimahullazina yastambitunahu min-hum, walau la fadlullahi 'alaikum wa rahmatuhu lattaba'tumusy-syaitana illa qalila"
577,"fa qatil fi sabilillah, la tukallafu illa nafsaka wa harridil-mu'minin, 'asallahu ay yakuffa ba'sallazina kafaru, wallahu asyaddu ba'saw wa asyaddu tangkila"
578,"may yasyfa' syafa'atan hasanatay yakul lahu nasibum min-ha, wa may yasyfa' syafa'atan sayyi'atay yakul lahu kiflum min-ha, wa kanallahu 'ala kulli syai'im muqita"
579,"wa iza huyyitum bitahiyyatin fa hayyu bi'ahsana min-ha au rudduha, innallaha kana 'ala kulli syai'in hasiba"
580,"allahu la ilaha illa huw, layajma'annakum ila yaumil-qiyamati la raiba fih, wa man asdaqu minallahi hadisa"
581,"fa ma lakum fil-munafiqina fi'ataini wallahu arkasahum bima kasabu, a turiduna an tahdu man adallallah, wa may yudlilillahu fa lan tajida lahu sabila"
582,"waddu lau takfuruna kama kafaru fa takununa sawa'an fa la tattakhizu min-hum auliya'a hatta yuhajiru fi sabilillah, fa in tawallau fa khuzuhum waqtuluhum haisu wajattumuhum wa la tattakhizu min-hum waliyyaw wa la nasira"
583,"illallazina yasiluna ila qaumim bainakum wa bainahum misaqun au ja'ukum hasirat suduruhum ay yuqatilukum au yuqatilu qaumahum, walau sya'allahu lasallatahum 'alaikum fa laqatalukum, fa ini'tazalukum fa lam yuqatilukum wa alqau ilaikumus-salama fa ma ja'alallahu lakum 'alaihim sabila"
584,"satajiduna akharina yuriduna ay ya'manukum wa ya'manu qaumahum, kulla ma ruddu ilal-fitnati urkisu fiha, fa il lam ya'tazilukum wa yulqu ilaikumus-salama wa yakuffu aidiyahum fa khuzuhum waqtuluhum haisu saqiftumuhum, wa ula'ikum ja'alna lakum 'alaihim sultanam mubina"
585,"wa ma kana limu'minin ay yaqtula mu'minan illa khata'a, wa mang qatala mu'minan khata'an fa tahriru raqabatim mu'minatiw wa diyatum musallamatun ila ahlihi illa ay yassaddaqu, fa ing kana ming qaumin 'aduwwil lakum wa huwa mu'minun fa tahriru raqabatim mu'minah, wa ing kana ming qaumim bainakum wa bainahum misaqun fa diyatum musallamatun ila ahlihi wa tahriru raqabatim mu'minah, fa mal lam yajid fa siyamu syahraini mutatabi'aini taubatam minallah, wa kanallahu 'aliman hakima"
586,wa may yaqtul mu'minam muta'ammidan fa jaza'uhu jahannamu khalidan fiha wa gadiballahu 'alaihi wa la'anahu wa a'adda lahu 'azaban 'azima
587,"ya ayyuhallazina amanu iza darabtum fi sabilillahi fa tabayyanu wa la taqulu liman alqa ilaikumus-salama lasta mu'mina, tabtaguna 'aradal-hayatid-dun-ya fa 'indallahi maganimu kasirah, kazalika kuntum ming qablu fa mannallahu 'alaikum fa tabayyanu, innallaha kana bima ta'maluna khabira"
588,"la yastawil-qa'iduna minal-mu'minina gairu ulid-darari wal-mujahiduna fi sabilillahi bi'amwalihim wa anfusihim, faddalallahul-mujahidina bi'amwalihim wa anfusihim 'alal-qa'idina darajah, wa kullaw wa'adallahul-husna, wa faddalallahul-mujahidina 'alal-qa'idina ajran 'azima"
589,"darajatim min-hu wa magfirataw wa rahmah, wa kanallahu gafurar rahima"
590,"innallazina tawaffahumul-mala'ikatu zalimi anfusihim qalu fima kuntum, qalu kunna mustad'afina fil-ard, qalu a lam takun ardullahi wasi'atan fa tuhajiru fiha, fa ula'ika ma'wahum jahannam, wa sa'at masira"
591,illal-mustad'afina minar-rijali wan-nisa'i wal-wildani la yastati'una hilataw wa la yahtaduna sabila
592,"fa ula'ika 'asallahu ay ya'fuwa 'an-hum, wa kanallahu 'afuwwan gafura"
593,"wa may yuhajir fi sabilillahi yajid fil-ardi muragamang kasiraw wa sa'ah, wa may yakhruj mim baitihi muhajiran ilallahi wa rasulihi summa yudrik-hul-mautu fa qad waqa'a ajruhu 'alallah, wa kanallahu gafurar rahima"
594,"wa iza darabtum fil-ardi fa laisa 'alaikum junahun an taqsuru minas-salati in khiftum ay yaftinakumullazina kafaru, innal-kafirina kanu lakum 'aduwwam mubina"
595,"wa iza kunta fihim fa aqamta lahumus-salata faltaqum ta'ifatum min-hum ma'aka walya'khuzu aslihatahum, fa iza sajadu falyakunu miw wara'ikum walta'ti ta'ifatun ukhra lam yusallu falyusallu ma'aka walya'khuzu hizrahum wa aslihatahum, waddallazina kafaru lau tagfuluna 'an aslihatikum wa amti'atikum fa yamiluna 'alaikum mailataw wahidah, wa la junaha 'alaikum ing kana bikum azam mim matarin au kuntum marda an tada'u aslihatakum, wa khuzu hizrakum, innallaha a'adda lil-kafirina 'azabam muhina"
596,"fa iza qadaitumus-salata fazkurullaha qiyamaw wa qu'udaw wa 'ala junubikum, fa izatma'nantum fa aqimus-salah, innas-salata kanat 'alal-mu'minina kitabam mauquta"
